Data_minute,Valor,Ticker
2024-11-26 00:00,"548.491,06",BTC-BRL
2024-11-26 00:02,"548.544,41",BTC-BRL
2024-11-26 00:03,"548.590,87",BTC-BRL
2024-11-26 00:05,"548.881,62",BTC-BRL
2024-11-26 00:06,"548.700,95",BTC-BRL
2024-11-26 00:08,"548.083,82",BTC-BRL
2024-11-26 00:09,"547.998,70",BTC-BRL
2024-11-26 00:11,"547.922,67",BTC-BRL
2024-11-26 00:12,"547.902,31",BTC-BRL
2024-11-26 00:14,"547.214,28",BTC-BRL
2024-11-26 00:15,"547.770,86",BTC-BRL
2024-11-26 00:17,"547.902,97",BTC-BRL
2024-11-26 00:18,"548.050,67",BTC-BRL
2024-11-26 00:20,"547.961,65",BTC-BRL
2024-11-26 00:21,"547.686,24",BTC-BRL
2024-11-26 00:23,"547.201,78",BTC-BRL
2024-11-26 00:24,"547.018,79",BTC-BRL
2024-11-26 00:26,"547.340,34",BTC-BRL
2024-11-26 00:27,"547.265,69",BTC-BRL
2024-11-26 00:29,"547.265,69",BTC-BRL
2024-11-26 00:30,"547.134,16",BTC-BRL
2024-11-26 00:32,"547.083,07",BTC-BRL
2024-11-26 00:33,"547.098,37",BTC-BRL
2024-11-26 00:35,"547.298,61",BTC-BRL
2024-11-26 00:36,"547.586,76",BTC-BRL
2024-11-26 00:38,"547.577,55",BTC-BRL
2024-11-26 00:39,"548.112,57",BTC-BRL
2024-11-26 00:41,"548.112,57",BTC-BRL
2024-11-26 00:42,"548.891,03",BTC-BRL
2024-11-26 00:44,"548.810,03",BTC-BRL
2024-11-26 00:45,"548.691,60",BTC-BRL
2024-11-26 00:47,"548.631,74",BTC-BRL
2024-11-26 00:48,"548.867,30",BTC-BRL
2024-11-26 00:50,"548.773,01",BTC-BRL
2024-11-26 00:51,"549.029,53",BTC-BRL
2024-11-26 00:53,"549.039,08",BTC-BRL
2024-11-26 00:54,"549.051,43",BTC-BRL
2024-11-26 00:56,"548.819,60",BTC-BRL
2024-11-26 00:58,"548.687,22",BTC-BRL
2024-11-26 00:59,"548.559,36",BTC-BRL
2024-11-26 01:01,"548.065,85",BTC-BRL
2024-11-26 01:02,"547.938,05",BTC-BRL
2024-11-26 01:04,"547.982,74",BTC-BRL
2024-11-26 01:05,"547.982,74",BTC-BRL
2024-11-26 01:07,"547.764,94",BTC-BRL
2024-11-26 01:08,"547.506,31",BTC-BRL
2024-11-26 01:10,"546.631,19",BTC-BRL
2024-11-26 01:11,"546.307,22",BTC-BRL
2024-11-26 01:13,"546.175,42",BTC-BRL
2024-11-26 01:14,"546.525,23",BTC-BRL
2024-11-26 01:16,"546.658,56",BTC-BRL
2024-11-26 01:17,"546.185,75",BTC-BRL
2024-11-26 01:19,"546.751,80",BTC-BRL
2024-11-26 01:20,"546.887,25",BTC-BRL
2024-11-26 01:22,"547.031,23",BTC-BRL
2024-11-26 01:23,"546.887,66",BTC-BRL
2024-11-26 01:25,"546.449,71",BTC-BRL
2024-11-26 01:26,"546.739,88",BTC-BRL
2024-11-26 01:28,"547.082,84",BTC-BRL
2024-11-26 01:29,"547.116,45",BTC-BRL
