Data_minute,Valor,Ticker
2024-11-21 10:00,"R$ 65,54",AAPL34:BVMF
2024-11-21 10:01,"R$ 65,54",AAPL34:BVMF
2024-11-21 10:02,"R$ 65,54",AAPL34:BVMF
2024-11-21 10:03,"R$ 65,54",AAPL34:BVMF
2024-11-21 10:04,"R$ 65,54",AAPL34:BVMF
2024-11-21 10:05,"R$ 65,54",AAPL34:BVMF
2024-11-21 10:06,"R$ 65,54",AAPL34:BVMF
2024-11-21 10:07,"R$ 65,54",AAPL34:BVMF
2024-11-21 10:08,"R$ 65,54",AAPL34:BVMF
2024-11-21 10:09,"R$ 65,54",AAPL34:BVMF
2024-11-21 10:10,"R$ 65,54",AAPL34:BVMF
2024-11-21 10:11,"R$ 65,54",AAPL34:BVMF
2024-11-21 10:12,"R$ 65,54",AAPL34:BVMF
2024-11-21 10:13,"R$ 65,54",AAPL34:BVMF
2024-11-21 10:14,"R$ 65,54",AAPL34:BVMF
2024-11-21 10:15,"R$ 65,54",AAPL34:BVMF
2024-11-21 10:16,"R$ 65,54",AAPL34:BVMF
2024-11-21 10:17,"R$ 65,54",AAPL34:BVMF
2024-11-21 10:18,"R$ 66,56",AAPL34:BVMF
2024-11-21 10:19,"R$ 66,81",AAPL34:BVMF
2024-11-21 10:20,"R$ 66,77",AAPL34:BVMF
2024-11-21 10:21,"R$ 66,70",AAPL34:BVMF
2024-11-21 10:22,"R$ 66,73",AAPL34:BVMF
2024-11-21 10:23,"R$ 66,75",AAPL34:BVMF
2024-11-21 10:24,"R$ 66,72",AAPL34:BVMF
2024-11-21 10:25,"R$ 66,70",AAPL34:BVMF
2024-11-21 10:26,"R$ 66,70",AAPL34:BVMF
2024-11-21 10:27,"R$ 66,75",AAPL34:BVMF
2024-11-21 10:28,"R$ 66,80",AAPL34:BVMF
2024-11-21 10:29,"R$ 66,74",AAPL34:BVMF
2024-11-21 10:30,"R$ 66,74",AAPL34:BVMF
2024-11-21 10:31,"R$ 66,67",AAPL34:BVMF
2024-11-21 10:32,"R$ 66,73",AAPL34:BVMF
2024-11-21 10:33,"R$ 66,75",AAPL34:BVMF
2024-11-21 10:34,"R$ 66,75",AAPL34:BVMF
2024-11-21 10:35,"R$ 66,72",AAPL34:BVMF
2024-11-21 10:36,"R$ 66,73",AAPL34:BVMF
2024-11-21 10:37,"R$ 66,74",AAPL34:BVMF
2024-11-21 10:38,"R$ 66,67",AAPL34:BVMF
2024-11-21 10:39,"R$ 66,73",AAPL34:BVMF
2024-11-21 10:40,"R$ 66,70",AAPL34:BVMF
2024-11-21 10:41,"R$ 66,67",AAPL34:BVMF
2024-11-21 10:42,"R$ 66,65",AAPL34:BVMF
2024-11-21 10:43,"R$ 66,67",AAPL34:BVMF
2024-11-21 10:44,"R$ 66,67",AAPL34:BVMF
2024-11-21 10:45,"R$ 66,62",AAPL34:BVMF
2024-11-21 10:46,"R$ 66,62",AAPL34:BVMF
2024-11-21 10:47,"R$ 66,62",AAPL34:BVMF
2024-11-21 10:48,"R$ 66,63",AAPL34:BVMF
2024-11-21 10:49,"R$ 66,67",AAPL34:BVMF
2024-11-21 10:50,"R$ 66,66",AAPL34:BVMF
2024-11-21 10:51,"R$ 66,69",AAPL34:BVMF
2024-11-21 10:52,"R$ 66,60",AAPL34:BVMF
2024-11-21 10:53,"R$ 66,63",AAPL34:BVMF
2024-11-21 10:54,"R$ 66,63",AAPL34:BVMF
2024-11-21 10:55,"R$ 66,70",AAPL34:BVMF
2024-11-21 10:56,"R$ 66,66",AAPL34:BVMF
2024-11-21 10:57,"R$ 66,74",AAPL34:BVMF
2024-11-21 10:58,"R$ 66,76",AAPL34:BVMF
2024-11-21 10:59,"R$ 66,76",AAPL34:BVMF
2024-11-21 11:00,"R$ 66,77",AAPL34:BVMF
2024-11-21 11:01,"R$ 66,83",AAPL34:BVMF
2024-11-21 11:02,"R$ 66,86",AAPL34:BVMF
2024-11-21 11:03,"R$ 66,90",AAPL34:BVMF
2024-11-21 11:04,"R$ 66,88",AAPL34:BVMF
2024-11-21 11:05,"R$ 66,81",AAPL34:BVMF
2024-11-21 11:06,"R$ 66,82",AAPL34:BVMF
2024-11-21 11:07,"R$ 66,83",AAPL34:BVMF
2024-11-21 11:08,"R$ 66,69",AAPL34:BVMF
2024-11-21 11:09,"R$ 66,71",AAPL34:BVMF
2024-11-21 11:10,"R$ 66,74",AAPL34:BVMF
2024-11-21 11:11,"R$ 66,74",AAPL34:BVMF
2024-11-21 11:13,"R$ 66,80",AAPL34:BVMF
2024-11-21 11:14,"R$ 66,82",AAPL34:BVMF
2024-11-21 11:15,"R$ 66,82",AAPL34:BVMF
2024-11-21 11:16,"R$ 66,79",AAPL34:BVMF
2024-11-21 11:17,"R$ 66,82",AAPL34:BVMF
2024-11-21 11:18,"R$ 66,84",AAPL34:BVMF
2024-11-21 11:19,"R$ 66,76",AAPL34:BVMF
2024-11-21 11:20,"R$ 66,73",AAPL34:BVMF
2024-11-21 11:21,"R$ 66,74",AAPL34:BVMF
2024-11-21 11:22,"R$ 66,72",AAPL34:BVMF
